Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
6/22/2020,85.88656616,133.795166,193.6244507,70.75637817,74.39339447,132.5694733,196.4879761,65.9758606,279.0604248,38.21875381
6/23/2020,86.66073608,136.4077454,194.540329,71.16614532,75.15512848,132.9286346,197.8854218,67.90237427,280.0436096,38.36227036
6/24/2020,87.37832642,137.6136169,194.9452972,71.5513382,75.29044342,132.9233856,199.2172394,69.81581879,280.8413391,38.1739502
6/25/2020,86.77927399,136.2931519,191.8882141,70.5209198,74.38758087,131.8422089,195.7477417,69.70530701,281.6594543,38.37599564
6/26/2020,87.3937149,138.7994385,192.1426849,70.84513092,74.81337738,131.8348846,196.3670502,72.69281006,283.6783752,38.45297241
6/29/2020,86.95169067,135.2592926,190.0419769,69.96965027,74.04351807,130.1654358,194.2470398,65.75428772,279.8754272,38.29598999
6/30/2020,87.22744751,138.96698,191.5588684,70.23604584,74.80596161,130.4445038,195.857666,70.11147308,281.7904053,38.50793457
7/1/2020,90.31794739,146.1351929,194.5484314,72.46638489,77.45721436,131.9160461,203.6658478,80.42142487,286.7284546,38.13331985
7/2/2020,92.81074524,150.6694031,195.5265045,73.532547,78.77813721,132.4169617,208.1593475,86.18418884,289.5672302,37.70951843
7/6/2020,94.38130188,152.9742889,196.73349,74.1805191,79.36129761,133.0084686,210.5105591,90.13899994,290.4244385,37.30897522
7/7/2020,96.60952759,156.1504822,199.1987915,75.3928299,80.71707916,134.2813721,213.2210083,94.21157837,291.6134033,37.28506088
7/8/2020,97.28043365,156.5874329,199.5906219,75.71934509,80.81217957,134.0275269,213.9557037,95.23729706,290.4163818,37.26852417
7/9/2020,98.31250763,156.4445343,200.3935699,75.75691986,81.14515686,134.4433594,216.0217896,94.11192322,288.700592,37.06002808
7/10/2020,96.12280273,153.7902832,199.8207092,75.6085434,80.21585846,133.4015198,214.0844879,92.16288757,285.4519348,36.046978
7/13/2020,97.28663635,156.7239227,201.7639465,76.80927277,81.54981995,134.5228424,215.37883,95.76213837,284.2111511,36.77122116
7/14/2020,98.3585434,158.5258484,202.3562775,77.66692352,81.1757431,134.8676453,212.1931458,102.5884857,285.2983093,37.44769669
7/15/2020,99.5879364,159.0185699,204.3300476,77.91782379,81.09568024,135.5100708,210.9756775,105.3744659,287.0315247,38.56545258
7/16/2020,99.6160965,159.0099945,206.1707153,78.07292175,81.68742371,135.9976349,211.3245392,106.0617371,288.7183533,38.56800079
7/17/2020,98.91737366,158.5851898,206.3513641,77.76379395,81.53097534,135.7290955,209.285202,106.4509735,290.8226929,38.58408356
7/20/2020,98.44828796,158.4508057,206.5788116,77.61286163,81.34807587,135.4738464,208.2225037,107.0950623,291.7082825,38.48451996
7/21/2020,98.79042053,158.9771729,207.077301,77.52596283,81.3500824,135.3282471,210.7799072,106.7021332,290.5233765,38.41678238
7/22/2020,98.57611084,158.7787323,206.7333832,77.527565,80.8973999,134.6933746,209.0954742,107.4339752,290.8022156,38.6458931
7/23/2020,99.23752594,159.3126526,208.0213013,77.83966064,81.31158447,135.2940063,210.8010406,108.2290192,289.9708557,38.51679993
7/24/2020,97.69167328,158.0321503,207.1952057,77.36728668,80.13178253,134.7091064,203.167572,109.464447,292.9941101,39.34366608
7/27/2020,98.49438477,158.2720184,207.7559967,77.14928436,79.49938202,134.5136871,200.1676941,112.2887726,291.6070251,40.07977295
7/28/2020,97.89892578,157.5328522,207.5214081,76.42002869,79.23343658,134.157196,201.5660706,111.6545639,292.5633545,39.93474197
7/29/2020,97.60059357,156.6998596,207.8896179,76.0887146,78.85605621,133.8735809,200.9855652,111.2195282,293.1461182,39.81428528
7/30/2020,97.69738007,157.2942047,208.3617401,76.37008667,79.59947205,134.2530518,202.0274506,110.952301,294.4708862,39.84609222
7/31/2020,97.48331451,155.8398438,206.0171661,75.6822052,78.94922638,133.1216125,202.5005341,108.7749557,292.8411255,39.04131317
8/3/2020,99.57939148,155.394516,205.4815674,75.66847992,78.4380188,131.6047211,206.8322296,105.3636703,289.6374817,37.63692856
